Header,internal_code
fig|727.1361.peg.778,lic3X_1
fig|1408442.3.peg.1151,lic3X_2
fig|197.4817.peg.165,lic3X_3
fig|727.1732.peg.658,lic3X_4
fig|212.43.peg.1157,lic3X_5
fig|32022.686.peg.864,lic3X_6
fig|747.1190.peg.1450,lic3X_7
fig|727.1503.peg.884,lic3X_8
fig|1655500.11.peg.1144,lic3X_9
fig|56877.34.peg.1392,lic3X_10
fig|727.3054.peg.1266,lic3X_11
fig|195.4095.peg.1834,lic3X_12
fig|197.22232.peg.1360,lic3X_13
fig|862964.18.peg.829,lic3X_14
fig|747.1940.peg.2093,lic3X_15
fig|727.1690.peg.1644,lic3X_16
fig|197.25133.peg.198,lic3X_17
fig|197.25288.peg.1129,lic3X_18
fig|32022.858.peg.337,lic3X_19
fig|727.1704.peg.446,lic3X_20
fig|727.1780.peg.773,lic3X_21
fig|727.2641.peg.141,lic3X_22
fig|747.454.peg.788,lic3X_23
fig|28080.91.peg.1019,lic3X_24
fig|727.583.peg.124,lic3X_25
fig|727.536.peg.642,lic3X_26
fig|727.1792.peg.1160,lic3X_27
fig|727.1798.peg.1178,lic3X_28
fig|727.1719.peg.1104,lic3X_29
fig|214.49.peg.955,lic3X_30
fig|727.2899.peg.129,lic3X_31
fig|727.1590.peg.1334,lic3X_32
fig|726.424.peg.1251,lic3X_33
fig|197.14828.peg.1618,lic3X_34
fig|727.3047.peg.1531,lic3X_35
fig|727.3037.peg.1540,lic3X_36
fig|449520.23.peg.1615,lic3X_37
fig|197.15840.peg.71,lic3X_38
fig|727.3411.peg.643,lic3X_39
fig|197.26782.peg.1350,lic3X_40
fig|197.26762.peg.145,lic3X_41
fig|197.15157.peg.185,lic3X_42
fig|195.30561.peg.1206,lic3X_43
fig|727.1717.peg.293,lic3X_44
fig|936155.3.peg.299,lic3X_45
fig|197.6716.peg.1620,lic3X_46
fig|727.2166.peg.521,lic3X_47
fig|197.15563.peg.883,lic3X_48
fig|195.638.peg.14,lic3X_49
fig|210.5368.peg.1598,lic3X_50
fig|197.15990.peg.1431,lic3X_51
fig|727.1344.peg.327,lic3X_52
fig|727.2178.peg.600,lic3X_53
fig|197.20551.peg.952,lic3X_54
fig|214.36.peg.889,lic3X_55
fig|727.1430.peg.613,lic3X_56
fig|727.1497.peg.68,lic3X_57
fig|727.1684.peg.808,lic3X_58
fig|95149.9.peg.501,lic3X_59
fig|197.5163.peg.1822,lic3X_60
fig|1313.15885.peg.1403,lic3X_61
fig|28080.85.peg.1180,lic3X_62
fig|449520.13.peg.1638,lic3X_63
fig|32022.905.peg.376,lic3X_64
fig|727.3023.peg.1073,lic3X_65
fig|197.21048.peg.868,lic3X_66
fig|197.20982.peg.603,lic3X_67
fig|753.31.peg.2025,lic3X_68
fig|197.23693.peg.307,lic3X_69
fig|488545.6.peg.1333,lic3X_70
fig|329937.5.peg.470,lic3X_71
fig|197.23229.peg.672,lic3X_72
fig|197.25089.peg.1308,lic3X_73
fig|197.5117.peg.176,lic3X_74
fig|197.16990.peg.1330,lic3X_75
fig|197.15196.peg.156,lic3X_76
fig|727.1412.peg.944,lic3X_77
fig|727.1205.peg.205,lic3X_78
fig|210.7801.peg.867,lic3X_79
fig|727.1573.peg.1775,lic3X_80
fig|727.1701.peg.829,lic3X_81
fig|727.1318.peg.1430,lic3X_82
fig|197.17108.peg.1145,lic3X_83
fig|197.16151.peg.1552,lic3X_84
fig|214.37.peg.347,lic3X_85
fig|727.1502.peg.224,lic3X_86
fig|195.3034.peg.1314,lic3X_87
fig|1548018.3.peg.2619,lic3X_88
fig|727.2298.peg.1250,lic3X_89
fig|197.16157.peg.1119,lic3X_90
fig|727.2167.peg.864,lic3X_91
fig|727.1745.peg.382,lic3X_92
fig|727.1672.peg.1291,lic3X_93
fig|218.24.peg.48,lic3X_94
fig|753.29.peg.2126,lic3X_95
fig|197.22235.peg.1632,lic3X_96
fig|2735784.4.peg.168,lic3X_97
fig|727.3052.peg.756,lic3X_98
fig|2735782.7.peg.1505,lic3X_99
fig|175537.54.peg.484,lic3X_100
fig|197.25351.peg.38,lic3X_101
fig|747.2999.peg.2157,lic3X_102
fig|197.27566.peg.197,lic3X_103
fig|197.27578.peg.188,lic3X_104
fig|195.30509.peg.1468,lic3X_105
fig|195.480.peg.255,lic3X_106
fig|197.5329.peg.1037,lic3X_107
fig|201.176.peg.577,lic3X_108
fig|727.3019.peg.142,lic3X_109
fig|727.1637.peg.306,lic3X_110
fig|727.1239.peg.1696,lic3X_111
fig|214.48.peg.803,lic3X_112
fig|2020247.3.peg.39,lic3X_113
fig|727.1643.peg.776,lic3X_114
fig|727.1776.peg.1127,lic3X_115
fig|2735761.7.peg.1164,lic3X_116
fig|1655500.20.peg.348,lic3X_117
fig|727.1521.peg.1452,lic3X_118
fig|862964.19.peg.830,lic3X_119
fig|197.22135.peg.135,lic3X_120
fig|28080.132.peg.298,lic3X_121
fig|727.3674.peg.854,lic3X_122
fig|753.5.peg.1993,lic3X_123
fig|747.2336.peg.1531,lic3X_124
fig|197.24948.peg.383,lic3X_125
fig|197.25174.peg.2021,lic3X_126
fig|727.1202.peg.222,lic3X_127
fig|727.1774.peg.156,lic3X_128
fig|1183379.4.peg.1215,lic3X_129
fig|210.7799.peg.553,lic3X_130
fig|727.538.peg.1096,lic3X_131
fig|32022.535.peg.629,lic3X_132
fig|725.17.peg.866,lic3X_133
fig|727.1263.peg.781,lic3X_134
fig|727.1634.peg.790,lic3X_135
fig|197.15155.peg.172,lic3X_136
fig|725.19.peg.881,lic3X_137
fig|727.1065.peg.551,lic3X_138
fig|747.472.peg.14,lic3X_139
fig|197.5237.peg.887,lic3X_140
fig|727.1355.peg.1330,lic3X_141
fig|214.34.peg.1415,lic3X_142
fig|727.1676.peg.771,lic3X_143
fig|214.31.peg.1153,lic3X_144
fig|197.14687.peg.456,lic3X_145
fig|37372.27.peg.426,lic3X_146
fig|197.17109.peg.1137,lic3X_147
fig|197.20875.peg.1096,lic3X_148
fig|727.1739.peg.1167,lic3X_149
fig|2735763.4.peg.1224,lic3X_150
fig|727.3030.peg.537,lic3X_151
fig|197.21693.peg.1368,lic3X_152
fig|197.22260.peg.1473,lic3X_153
fig|298570.7.peg.929,lic3X_154
fig|2974565.7.peg.457,lic3X_155
fig|28080.321.peg.331,lic3X_156
fig|197.22303.peg.615,lic3X_157
fig|195.30592.peg.1573,lic3X_158
fig|195.30600.peg.1844,lic3X_159
fig|727.1797.peg.134,lic3X_160
fig|195.2444.peg.675,lic3X_161
fig|747.1860.peg.1755,lic3X_162
fig|290433.16.peg.966,lic3X_163
fig|936155.3.peg.871,lic3X_164
fig|197.16354.peg.1552,lic3X_165
fig|2004998.3.peg.123,lic3X_166
fig|195.1503.peg.443,lic3X_167
fig|727.2183.peg.449,lic3X_168
fig|260714.13.peg.1467,lic3X_169
fig|197.15122.peg.154,lic3X_170
fig|197.17936.peg.1181,lic3X_171
fig|727.1058.peg.358,lic3X_172
fig|727.1644.peg.763,lic3X_173
fig|727.625.peg.261,lic3X_174
fig|195.464.peg.1652,lic3X_175
fig|2911624.4.peg.953,lic3X_176
fig|195.2064.peg.1775,lic3X_177
fig|727.1303.peg.1152,lic3X_178
fig|2735732.6.peg.1239,lic3X_179
fig|197.5170.peg.1536,lic3X_180
fig|195.720.peg.1416,lic3X_181
fig|727.1329.peg.863,lic3X_182
fig|195.905.peg.955,lic3X_183
fig|214.50.peg.1611,lic3X_184
fig|449520.18.peg.1653,lic3X_185
fig|753.21.peg.445,lic3X_186
fig|727.3032.peg.452,lic3X_187
fig|197.21753.peg.389,lic3X_188
fig|197.25135.peg.178,lic3X_189
fig|2974565.14.peg.402,lic3X_190
fig|197.25814.peg.1187,lic3X_191
fig|727.1711.peg.585,lic3X_192
fig|45498.6.peg.1040,lic3X_193
fig|727.1650.peg.1104,lic3X_194
fig|260714.21.peg.749,lic3X_195
fig|201.126.peg.1344,lic3X_196
fig|298570.3.peg.428,lic3X_197
fig|195.556.peg.264,lic3X_198
fig|214.47.peg.1663,lic3X_199
fig|727.593.peg.393,lic3X_200
fig|2735767.4.peg.1218,lic3X_201
fig|2735774.3.peg.630,lic3X_202
fig|1813019.34.peg.507,lic3X_203
fig|197.21296.peg.478,lic3X_204
fig|214.44.peg.4,lic3X_205
fig|197.21519.peg.656,lic3X_206
fig|727.1286.peg.612,lic3X_207
fig|727.1693.peg.1226,lic3X_208
fig|727.2291.peg.733,lic3X_209
fig|195.3892.peg.1180,lic3X_210
fig|197.22815.peg.1724,lic3X_211
fig|2735760.7.peg.1467,lic3X_212
fig|1071947.5.peg.18,lic3X_213
fig|197.22284.peg.615,lic3X_214
fig|2911628.3.peg.973,lic3X_215
fig|1813019.36.peg.723,lic3X_216
fig|727.1310.peg.759,lic3X_217
fig|765964.3.peg.904,lic3X_218
fig|195.384.peg.1149,lic3X_219
fig|195.2567.peg.24,lic3X_220
fig|218934.108.peg.725,lic3X_221
fig|1813019.16.peg.151,lic3X_222
fig|214.52.peg.1227,lic3X_223
fig|56877.27.peg.1416,lic3X_224
fig|727.2180.peg.233,lic3X_225
fig|727.1645.peg.1109,lic3X_226
fig|727.1347.peg.863,lic3X_227
fig|727.1203.peg.939,lic3X_228
fig|727.1305.peg.948,lic3X_229
fig|195.2448.peg.951,lic3X_230
fig|197.26794.peg.382,lic3X_231
fig|1813019.11.peg.910,lic3X_232
fig|28080.103.peg.920,lic3X_233
fig|197.22120.peg.1242,lic3X_234
fig|197.22130.peg.1419,lic3X_235
fig|747.2411.peg.1011,lic3X_236
fig|123812.6.peg.614,lic3X_237
fig|195.699.peg.1345,lic3X_238
fig|727.1718.peg.295,lic3X_239
fig|727.1592.peg.1348,lic3X_240
fig|727.298.peg.664,lic3X_241
fig|727.1724.peg.126,lic3X_242
fig|2498118.3.peg.214,lic3X_243
fig|727.987.peg.1771,lic3X_244
fig|727.1490.peg.122,lic3X_245
fig|727.616.peg.133,lic3X_246
fig|2498132.3.peg.280,lic3X_247
fig|727.2901.peg.997,lic3X_248
fig|727.625.peg.1170,lic3X_249
fig|727.1214.peg.1567,lic3X_250
fig|197.20799.peg.544,lic3X_251
fig|449520.13.peg.1622,lic3X_252
AAF13495.1,lic3X_253
fig|727.3383.peg.1036,lic3X_254
fig|727.3045.peg.1326,lic3X_255
fig|2735756.6.peg.811,lic3X_256
fig|197.22156.peg.698,lic3X_257
fig|197.24718.peg.1255,lic3X_258
fig|1548018.8.peg.1678,lic3X_259
fig|197.20765.peg.1374,lic3X_260
fig|197.27555.peg.1735,lic3X_261
fig|218.51.peg.283,lic3X_262
fig|197.25411.peg.199,lic3X_263
fig|197.15682.peg.653,lic3X_264
fig|727.1373.peg.1248,lic3X_265
fig|1813019.13.peg.555,lic3X_266
fig|727.1054.peg.978,lic3X_267
fig|427351.4.peg.200,lic3X_268
fig|195.3289.peg.465,lic3X_269
fig|210.7785.peg.841,lic3X_270
fig|727.1342.peg.1605,lic3X_271
fig|195.3741.peg.1214,lic3X_272
fig|1295140.4.peg.246,lic3X_273
fig|727.3378.peg.1308,lic3X_274
fig|28080.152.peg.669,lic3X_275
fig|727.530.peg.634,lic3X_276
fig|195.447.peg.1269,lic3X_277
fig|747.2296.peg.852,lic3X_278
fig|197.25161.peg.171,lic3X_279
fig|197.24925.peg.202,lic3X_280
fig|195.30500.peg.1613,lic3X_281
fig|195.1500.peg.2449,lic3X_282
fig|1848766.7.peg.1294,lic3X_283
fig|197.16988.peg.753,lic3X_284
fig|727.1367.peg.519,lic3X_285
fig|725.11.peg.864,lic3X_286
fig|727.1823.peg.683,lic3X_287
fig|197.22234.peg.572,lic3X_288
fig|747.2329.peg.1315,lic3X_289
fig|210.9037.peg.810,lic3X_290
fig|202.15.peg.1131,lic3X_291
fig|197.4979.peg.195,lic3X_292
fig|210.7800.peg.822,lic3X_293
fig|197575.7.peg.1609,lic3X_294
fig|727.1321.peg.121,lic3X_295
fig|727.1424.peg.872,lic3X_296
fig|727.1499.peg.87,lic3X_297
fig|747.472.peg.1293,lic3X_298
fig|197.21028.peg.890,lic3X_299
fig|1813019.185.peg.280,lic3X_300
fig|28080.149.peg.233,lic3X_301
fig|28080.227.peg.707,lic3X_302
fig|727.3412.peg.668,lic3X_303
fig|197.24857.peg.1633,lic3X_304
fig|728.351.peg.88,lic3X_305
fig|329937.5.peg.1329,lic3X_306
fig|56877.33.peg.1215,lic3X_307
fig|727.607.peg.1054,lic3X_308
fig|727.2297.peg.1197,lic3X_309
fig|1813019.128.peg.1366,lic3X_310
fig|197.14709.peg.567,lic3X_311
fig|727.1788.peg.841,lic3X_312
fig|889246.3.peg.425,lic3X_313
fig|197.11670.peg.1891,lic3X_314
fig|2267891.4.peg.615,lic3X_315
fig|32022.569.peg.321,lic3X_316
fig|727.566.peg.1297,lic3X_317
fig|727.1759.peg.132,lic3X_318
fig|1072685.4.peg.49,lic3X_319
fig|727.990.peg.160,lic3X_320
fig|214.41.peg.1377,lic3X_321
fig|195.836.peg.1688,lic3X_322
fig|28080.142.peg.1217,lic3X_323
fig|1898206.146.peg.1168,lic3X_324
fig|727.3332.peg.377,lic3X_325
fig|260714.19.peg.1411,lic3X_326
fig|197.22660.peg.1532,lic3X_327
fig|2974565.17.peg.455,lic3X_328
fig|727.3678.peg.157,lic3X_329
fig|56877.42.peg.1173,lic3X_330
fig|218.46.peg.591,lic3X_331
fig|727.3345.peg.425,lic3X_332
fig|747.2370.peg.1546,lic3X_333
fig|197.14694.peg.1799,lic3X_334
fig|95149.8.peg.1008,lic3X_335
fig|725.18.peg.1167,lic3X_336
fig|214.33.peg.1555,lic3X_337
fig|212.40.peg.1222,lic3X_338
fig|727.2164.peg.129,lic3X_339
fig|727.1194.peg.431,lic3X_340
fig|197.14673.peg.134,lic3X_341
fig|375927.3.peg.986,lic3X_342
fig|747.1398.peg.778,lic3X_343
fig|197.22099.peg.1004,lic3X_344
fig|727.4176.peg.1308,lic3X_345
fig|2974565.9.peg.433,lic3X_346
fig|37372.46.peg.2254,lic3X_347
fig|727.1567.peg.570,lic3X_348
fig|197.27451.peg.290,lic3X_349
fig|747.510.peg.2092,lic3X_350
fig|727.1716.peg.537,lic3X_351
fig|197.7961.peg.661,lic3X_352
fig|1813019.16.peg.577,lic3X_353
fig|195.914.peg.1534,lic3X_354
fig|727.1593.peg.746,lic3X_355
fig|727.1691.peg.1084,lic3X_356
fig|214.46.peg.463,lic3X_357
fig|727.2182.peg.784,lic3X_358
fig|727.1583.peg.1612,lic3X_359
fig|201.159.peg.1437,lic3X_360
fig|195.3926.peg.110,lic3X_361
fig|28080.144.peg.328,lic3X_362
fig|201.209.peg.622,lic3X_363
fig|2505965.3.peg.1475,lic3X_364
fig|727.1554.peg.667,lic3X_365
fig|197.15104.peg.296,lic3X_366
fig|727.1537.peg.1756,lic3X_367
fig|727.2172.peg.1134,lic3X_368
fig|727.1426.peg.810,lic3X_369
fig|197.15115.peg.505,lic3X_370
fig|1813019.26.peg.626,lic3X_371
fig|727.2900.peg.866,lic3X_372
fig|727.1578.peg.439,lic3X_373
fig|197.15614.peg.1909,lic3X_374
fig|1655500.19.peg.1026,lic3X_375
fig|727.2176.peg.1503,lic3X_376
fig|727.1208.peg.1776,lic3X_377
fig|727.2160.peg.1656,lic3X_378
fig|32022.590.peg.1755,lic3X_379
fig|727.1328.peg.333,lic3X_380
fig|195.630.peg.341,lic3X_381
fig|727.1450.peg.297,lic3X_382
fig|197.5232.peg.228,lic3X_383
fig|747.1923.peg.449,lic3X_384
fig|2905874.7.peg.397,lic3X_385
fig|201.116.peg.2038,lic3X_386
fig|210.9048.peg.603,lic3X_387
fig|2911606.3.peg.763,lic3X_388
fig|28080.136.peg.845,lic3X_389
fig|727.3408.peg.252,lic3X_390
fig|727.2992.peg.695,lic3X_391
fig|727.3679.peg.1302,lic3X_392
fig|197.17938.peg.1167,lic3X_393
fig|197.15201.peg.186,lic3X_394
fig|727.1743.peg.386,lic3X_395
fig|197.20764.peg.1100,lic3X_396
fig|210.7806.peg.545,lic3X_397
fig|727.1654.peg.697,lic3X_398
fig|727.547.peg.709,lic3X_399
fig|197.4898.peg.1112,lic3X_400
fig|727.1643.peg.481,lic3X_401
fig|727.1290.peg.1461,lic3X_402
fig|115545.14.peg.1151,lic3X_403
fig|197.15869.peg.474,lic3X_404
fig|727.2292.peg.765,lic3X_405
fig|197.15986.peg.1467,lic3X_406
fig|2905875.6.peg.535,lic3X_407
fig|727.3354.peg.1333,lic3X_408
fig|2497989.77.peg.1757,lic3X_409
fig|212.56.peg.1127,lic3X_410
fig|175537.59.peg.1044,lic3X_411
fig|197.25550.peg.135,lic3X_412
fig|727.1355.peg.79,lic3X_413
fig|197.26747.peg.726,lic3X_414
fig|727.1735.peg.377,lic3X_415
fig|218.39.peg.1472,lic3X_416
fig|1813019.13.peg.529,lic3X_417
fig|727.1248.peg.1920,lic3X_418
fig|727.1515.peg.301,lic3X_419
fig|727.1466.peg.2043,lic3X_420
fig|727.1316.peg.496,lic3X_421
fig|2028575.5.peg.1485,lic3X_422
fig|37372.47.peg.680,lic3X_423
fig|197.25399.peg.189,lic3X_424
fig|747.736.peg.751,lic3X_425
fig|727.1639.peg.198,lic3X_426
fig|727.1777.peg.157,lic3X_427
fig|262727.7.peg.230,lic3X_428
fig|727.1545.peg.1482,lic3X_429
fig|1548018.7.peg.2536,lic3X_430
fig|727.1766.peg.1183,lic3X_431
fig|728.756.peg.567,lic3X_432
fig|175537.196.peg.732,lic3X_433
fig|375063.4.peg.172,lic3X_434
fig|197.21957.peg.394,lic3X_435
fig|727.1648.peg.1696,lic3X_436
fig|747.1859.peg.2168,lic3X_437
fig|210.8819.peg.714,lic3X_438
fig|727.2987.peg.681,lic3X_439
fig|727.1495.peg.879,lic3X_440
fig|727.1233.peg.585,lic3X_441
fig|197.4993.peg.557,lic3X_442
fig|1813019.54.peg.1376,lic3X_443
fig|138563.19.peg.1711,lic3X_444
fig|727.1283.peg.158,lic3X_445
fig|2800583.3.peg.1762,lic3X_446
fig|727.1357.peg.429,lic3X_447
fig|727.1449.peg.1654,lic3X_448
fig|727.1656.peg.569,lic3X_449
fig|727.4082.peg.717,lic3X_450
fig|197.25122.peg.1446,lic3X_451
fig|28080.148.peg.1182,lic3X_452
fig|197.25432.peg.371,lic3X_453
fig|197.23870.peg.304,lic3X_454
fig|2974565.13.peg.424,lic3X_455
fig|210.7801.peg.868,lic3X_456
fig|727.2180.peg.520,lic3X_457
fig|1031733.3.peg.908,lic3X_458
fig|727.1503.peg.1313,lic3X_459
fig|727.589.peg.379,lic3X_460
fig|727.1782.peg.783,lic3X_461
fig|214.44.peg.841,lic3X_462
fig|197.14815.peg.474,lic3X_463
fig|727.1517.peg.1586,lic3X_464
fig|197.20757.peg.1434,lic3X_465
fig|28080.92.peg.1508,lic3X_466
fig|197.23675.peg.301,lic3X_467
fig|197.22204.peg.951,lic3X_468
fig|747.3002.peg.1161,lic3X_469
fig|375927.3.peg.992,lic3X_470
fig|195.734.peg.127,lic3X_471
fig|727.302.peg.625,lic3X_472
fig|727.1806.peg.1484,lic3X_473
fig|1163741.3.peg.867,lic3X_474
fig|197.17093.peg.1180,lic3X_475
fig|195.358.peg.1808,lic3X_476
fig|727.1699.peg.901,lic3X_477
fig|214.49.peg.433,lic3X_478
fig|1813019.35.peg.539,lic3X_479
fig|197.20729.peg.1594,lic3X_480
fig|32022.943.peg.1162,lic3X_481
fig|32022.551.peg.975,lic3X_482
fig|727.1275.peg.544,lic3X_483
fig|727.1725.peg.727,lic3X_484
fig|727.1267.peg.1390,lic3X_485
